question,rank,chunk_id,source,file,text
Why are customers unhappy?,1,23604,,,"Péssimo atendimento, não entregam no prazo, sem qualquer tipo de satisfação ao cliente. Horrível!"
Why are customers unhappy?,2,42091,,,"Ruim
Falta de respeito com cliente"
Why are customers unhappy?,3,27776,,,"Cliente super insatisfeit
Quero informar que acho uma falta de respeito com consumir final ficar aguardando algo que já foi pago e não entregue, favor resolver essa situação urgente ou estarei acionando minha ADVOGADA."
Why are customers unhappy?,4,8516,,,"Desrespeito com o cliente
Falta de respeito com o cliente"
Why are customers unhappy?,5,38275,,,Insatisfação total com essa loja vende um produto é não entrega tremenda falta de respeito
Why are customers unhappy?,6,15545,,,"Decepção
Pessima loja. Vendem recebem e não entregam."
Why are customers unhappy?,7,8115,,,"Produto recebido divergente ao comprado, gerando frustração e perda de oferta de outras opções analisadas."
Why are customers unhappy?,8,24130,,,"Empresa não da nenhuma satisfação. Estava contando com a compra, muita insatisfação."
Why are customers unhappy?,9,35913,,,Ponto negativo foi a venda de produto que não possui em estoque. O que frustra o consumidor.
Why are customers unhappy?,10,29272,,,"Não gostei.
Não gostei do tratamento ao cliente faz pouco caso não esto contento com a loja."
What are the most common customer complaints?,1,42928,,olist_executive_playbook.pdf,"• Improve fulfillment performance.
Scenario 2: Customer Ratings Decline
• Analyze negative reviews using sentiment analysis.
• Identify recurring complaint themes.
• Audit seller performance.
• Improve customer support processes.
Scenario 3: Delivery Delays Increase
• Monitor on-time delivery rate.
• Identify logistics bottlenecks.
• Review regional delivery performance.
• Optimize fulfillment workflows.
Scenario 4: Customer Retention Drops
• Use RFM analysis to identify at-risk customers."
What are the most common customer complaints?,2,27776,,,"Cliente super insatisfeit
Quero informar que acho uma falta de respeito com consumir final ficar aguardando algo que já foi pago e não entregue, favor resolver essa situação urgente ou estarei acionando minha ADVOGADA."
What are the most common customer complaints?,3,672,,,"Comunicação e respeito com o consumidor. É raro,comprar aqui sempre"
What are the most common customer complaints?,4,10460,,,Recomendaria a loja por sua rapidez e preocupação com o cliente.
What are the most common customer complaints?,5,30705,,,"Pessimo atendimento, sem canal de reclamação 
fornecedor"
What are the most common customer complaints?,6,8516,,,"Desrespeito com o cliente
Falta de respeito com o cliente"
What are the most common customer complaints?,7,12377,,,"Gostaria de saber a quem e como reclamar para receber o produto correto.
Grata."
What are the most common customer complaints?,8,12417,,,"Comprei um produto e recebi outro e inferior.
Gostaria de receber uma resposta à reclamação que fiz anteriormente.
Att.
Suzana Costa"
What are the most common customer complaints?,9,6612,,,"vou registrar queixa no reclameaqui porque, apesar de informar que, me enviaram produto para tensao errada (pedi 110V e mandaram 220V) apresentei reclamaçao e nao me deram satisfaçao"
What are the most common customer complaints?,10,36503,,,Até a data de hoje 15/01/18 não recebi meus produtos. E o atendimento da lannister é horroroso pois só temos acesso a reclamações por meio do site. uma total falta de respeito para com os clientes.
What causes positive customer reviews?,1,42773,,consumer_behavior.pdf,"satisfaction, while previous articles such as Kim et al. (2009) mentioned that positive customer 
reviews would predict higher e-loyalty, this study’s analysis revealed no significant relationship 
between review scores and repeat purchase behavior in either the general population or the 
subset of repeat buyers. Furthermore, the descriptive data highlighted an overwhelmingly 
transactional market, with 99.4% of customers making only a single purchase. This lack of"
What causes positive customer reviews?,2,42699,,consumer_behavior.pdf,"regarding the relationship between positive customer reviews and e-loyalty, the fluctuation of 
seasonal sales during holiday periods, and the influence of geographic urbanization on product 
preferences. Utilizing regression analyses on 100,000 orders from 2016 to 2018, the results 
showed no significant relationship between positive review scores and repeat purchasing 
behavior, revealing an overwhelmingly transactional market where 99.4% of customers are one-"
What causes positive customer reviews?,3,42719,,consumer_behavior.pdf,"6 
 
 
consumers. Research indicates that items with positive reviews have a higher likelihood of being 
purchased over those with no reviews available (Biswas et al., 2021). Recognizing this influence, 
businesses and platforms actively encourage customers to share their experiences and thoughts 
on products. This user-generated content is a cornerstone of modern digital marketing, building 
trust and providing social proof to businesses. Trust, which then influences a customer's decision"
What causes positive customer reviews?,4,42721,,consumer_behavior.pdf,"who express high satisfaction through positive reviews are more likely to demonstrate loyalty 
through repeat purchases, thereby providing a measurable link between positive feedback and 
customer retention. This e-commerce platform provides a wide variety of product types, ranging 
from daily necessities like ‘food’, ‘drinks’, to big purchases that people only buy when needed, 
such as ‘computer_accessories’ or ‘console_games’. Therefore, it would be necessary to"
What causes positive customer reviews?,5,42720,,consumer_behavior.pdf,"trust and providing social proof to businesses. Trust, which then influences a customer's decision 
to buy, suggests that it has a longer-term effect on customer e-loyalty (Kim et al., 2009). 
However, the direct connection between the act of reviewing and the reviewer's subsequent 
loyalty is less explored. This hypothesis seeks to bridge that gap by testing whether customers 
who express high satisfaction through positive reviews are more likely to demonstrate loyalty"
What causes positive customer reviews?,6,42758,,consumer_behavior.pdf,"13 
 
 
H1: Customer Reviews and E-Loyalty 
Table 1 reveals a statistically significant correlation (r = .01, p < .01) between review 
scores and the number of orders. However, it is crucial to interpret this with caution. In 
extremely large datasets (N = 97967), even a virtually weak positive relationship can appear 
""statistically significant"" simply because of the sample size (see Table 1-2). Practically speaking,"
What causes positive customer reviews?,7,42887,,ecommerce_analysis.pdf,"98 S. Gogineni et al.
When we look at sentiment scores across product types and delivery performance, there 
are clear trends. Visualizations showing word frequency indicate that negative word ""at-
raso"" is used often and is an indicator of customer displeasure due to delayed delivery. 
Customers consistently reference a negative experience based on logistics performance 
in low-star-rated reviews transactional to service level. Particularly, reviews with 1 star"
What causes positive customer reviews?,8,23343,,,avaliaçao positiva
