question,relevant_chunk_ids
Why are customers unhappy?,23604;35913;81115;15545
What are the most common customer complaints?,27776;12417;6612;36503
What causes positive customer reviews?,42719
How can customer satisfaction be improved?,4688;1993;137;34644
What customer expectations are not being met?,5694;27776;40131;10584
Which issues affect satisfaction the most?,7618;4138;27753;26487
What recurring themes appear in customer feedback?,42887;35970
Are customers satisfied with product quality?,41318;28385;39697;35824
How do delivery experiences influence reviews?,42841;42888;42928;5694
What customer pain points should executives prioritize?,27620;18396;34644;32224
What are the most common delivery issues?,32220;23668;20675;5267
Why are deliveries delayed?,3730;3299;23219;18938
How does delivery performance affect customer satisfaction?,42930;27795;41765;12058
What logistics improvements should the company make?,31271;27795;36779;28517
Which shipping problems occur most frequently?,37899;7342;31847;34423
Are delivery promises being fulfilled?,6453;8071;40226;34335
What operational bottlenecks affect delivery?,27795;1612;23219;18938
How can late deliveries be reduced?,41374;19548;13557;32390
What evidence suggests logistics problems?,42872;42884;7342;31847
Which delivery issues have the greatest business impact?,20397;27795;10173;6290
What quality issues do customers report?,42928;42719;42930;27620
Which products receive the most complaints?,24602;34423;5076;5848
What product strengths are frequently mentioned?,11718;4553;27944;2128
How does product quality affect customer loyalty?,42720;42721;42773;42719
What improvements should product teams prioritize?,23394;183;10001;8360
Are damaged products a recurring problem?,4694;38398;36482;17796
What quality trends emerge from customer reviews?,42714;42699;42719;42721
Which product categories generate positive feedback?,42721;42719;27944;25295
Are customers satisfied with payment options?,8821;33958;13356;40428
What payment-related issues appear in reviews?,42847;42880;42876;31337
How do order fulfilment problems affect customers?,24443;5654;28036;16773
What causes order cancellations?,24680;20717;19164;16912
Which order management improvements are needed?,42930;42820;29829;36276
What trends exist in payment behaviour?,42847;42884;42881;42876
How can the checkout experience be improved?,7300;42656;430;21081
What should executives prioritize to improve customer experience?,42707;1817;40951;34644
Which strategic initiatives will have the greatest impact?,27930;42117;17516;6089
How can the company increase customer retention?,42776;42930;18449;34644
What business risks are highlighted by customer feedback?,42929;42928;42818;42708
Which KPIs should executives monitor?,42827;33664;42251;27930
How should executives respond to declining customer satisfaction?,42928;38275;8516;1817
What operational improvements will improve business performance?,42817;17516;2552;8360
Which investments should management prioritize?,42820;27930;3820;42117
What consumer behaviour trends are evident?,42706;42704;42705;42698
What competitive advantages should the company strengthen?,42817;42703;2307;39737
Which market opportunities are discussed in the business documents?,42790;42914;42894;42795
How can customer insights improve business strategy?,42707;42815;42894;42708
What factors influence purchasing decisions?,42728;42693;36752;37452
Which long-term business challenges are identified?,42787;24443;42894;42817
What recommendations emerge from combining customer feedback and business research?,42815;42719;42928;42930
