question,expected_source
What is Olist's business model?,olist_company_overview
How does Olist generate revenue?,olist_company_overview
What services does Olist provide?,olist_company_overview
What is Olist's mission?,olist_business_strategy
What is Olist's vision?,olist_business_strategy
How should executives respond to declining sales?,olist_executive_playbook
How can customer satisfaction be improved?,olist_executive_playbook
What retention strategies are recommended?,olist_executive_playbook
What factors influence customer loyalty?,consumer_behavior
What are Brazilian e-commerce trends?,consumer_behavior
late delivery,reviews
delivery issues,reviews
poor packaging,reviews
broken product,reviews
seller issue,reviews
customer support problem,reviews
product defect,reviews
late shipment,reviews
delivery delay complaint,reviews
seller communication problem,reviews
How can Olist improve seller retention?,olist_business_strategy
Which strategies reduce customer churn?,olist_executive_playbook
What are Olist's competitive advantages?,olist_company_overview
How can logistics performance be improved?,olist_executive_playbook
How should executives react to declining ratings?,olist_executive_playbook	
What drives repeat purchases?,consumer_behavior
How does Olist support SMBs?,olist_company_overview
What are marketplace growth opportunities?,olist_business_strategy
How can delivery satisfaction be improved?,olist_executive_playbook
What are the biggest operational risks?,olist_business_strategy
